ax ay az mx my mz clock(s)
-384 -240 -16496 -69 138 351 10
-384 -240 -16496 -69 138 351 20
-384 -240 -16496 -69 138 351 30
-384 -240 -16496 -69 138 351 30
-384 -240 -16496 -69 138 351 40
-384 -240 -16496 -69 138 351 50
-384 -240 -16496 -69 138 351 60
-384 -240 -16496 -69 138 351 70
-384 -240 -16496 -69 138 351 70
-384 -240 -16496 -69 138 351 80
-384 -240 -16496 -69 138 351 90
-384 -240 -16496 -69 138 351 100
-416 -256 -16528 -63 132 345 100
-384 -256 -16496 -63 132 345 110
-416 -224 -16496 -63 132 345 120
-384 -256 -16464 -65 136 351 130
-384 -256 -16496 -65 136 351 140
-384 -224 -16560 -65 136 351 140
-416 -256 -16496 -65 136 351 160
-416 -208 -16432 -65 136 351 170
-352 -240 -16480 -65 136 351 170
-400 -240 -16512 -62 141 356 180
-400 -256 -16400 -62 141 356 190
-384 -304 -16448 -62 141 356 200
-400 -224 -16512 -62 141 356 200
-368 -256 -16528 -66 138 357 210
-384 -256 -16496 -66 138 357 210
-384 -224 -16464 -66 138 357 230
-400 -224 -16448 -52 135 354 240
-352 -240 -16400 -52 135 354 250
-384 -256 -16528 -52 135 354 260
-400 -256 -16528 -52 135 354 260
-352 -224 -16464 -64 135 353 270
-352 -256 -16496 -64 135 353 280
-336 -256 -16496 -64 135 353 290
-432 -208 -16480 -66 144 349 290
-384 -256 -16448 -66 144 349 300
-384 -256 -16544 -66 144 349 310
-352 -256 -16480 -64 139 360 320
-368 -256 -16448 -64 139 360 330
-384 -240 -16448 -64 139 360 340
-384 -256 -16528 -64 139 360 340
-336 -256 -16480 -64 139 360 350
-400 -224 -16480 -64 139 360 360
-368 -256 -16448 -64 139 360 370
-400 -240 -16464 -64 139 360 380
-400 -256 -16464 -64 139 360 380
-336 -240 -16464 -64 139 360 390
-400 -224 -16512 -56 130 355 400
-400 -224 -16528 -56 130 355 400
-384 -256 -16480 -56 130 355 410
-400 -256 -16480 -56 130 355 420
-352 -240 -16528 -58 142 355 430
-352 -256 -16464 -58 142 355 440
-352 -224 -16496 -58 142 355 440
-384 -256 -16400 -58 142 355 450
-384 -256 -16464 -58 142 355 460
-384 -256 -16464 -58 142 355 470
-320 -240 -16432 -58 142 355 470
-384 -256 -16400 -58 142 355 490
-320 -256 -16400 -58 142 355 500
-368 -240 -16464 -58 142 355 510
-384 -240 -16464 -58 141 352 520
-384 -256 -16480 -58 141 352 520
-400 -256 -16464 -58 141 352 530
-400 -192 -16416 -71 136 346 540
-352 -240 -16480 -71 136 346 550
