ax ay az mx my mz clock(s)
-976 -3296 -16256 -49 203 317 10
-976 -3296 -16256 -49 203 317 20
-976 -3296 -16256 -49 203 317 30
-976 -3296 -16256 -49 203 317 40
-976 -3296 -16256 -49 203 317 40
-976 -3296 -16256 -49 203 317 50
-976 -3296 -16256 -49 203 317 60
-976 -3296 -16256 -49 203 317 70
-976 -3296 -16256 -49 203 317 80
-976 -3296 -16256 -49 203 317 80
-976 -3296 -16256 -49 203 317 90
-976 -3296 -16256 -49 203 317 100
-976 -3296 -16256 -49 203 317 110
-976 -3296 -16256 -49 203 317 120
-976 -3296 -16256 -49 203 317 130
-976 -3296 -16256 -49 203 317 130
-976 -3264 -16144 -40 197 313 130
-1024 -3200 -16240 -40 197 313 140
-976 -3280 -16240 -38 199 318 150
-976 -3280 -16240 -38 199 318 170
-992 -3216 -16160 -38 199 318 170
-1024 -3264 -16160 -38 199 318 170
-1280 -3088 -16240 -38 199 318 190
-960 -3184 -16192 -38 199 318 200
-1008 -3200 -16160 -38 199 318 210
-1024 -3184 -16208 -40 195 313 210
-1024 -3216 -16160 -40 195 313 220
-1024 -3248 -16240 -40 195 313 230
-1008 -3296 -16176 -38 199 320 240
-1008 -3184 -16240 -38 199 320 250
-1024 -3200 -16144 -38 199 320 250
-992 -3248 -16160 -44 205 321 260
-1024 -3296 -16176 -44 205 321 270
-1024 -3264 -16128 -44 205 321 280
-1008 -3264 -16208 -44 205 321 290
-992 -3200 -16192 -40 202 314 300
-1040 -3232 -16240 -40 202 314 300
-1024 -3248 -16192 -40 202 314 310
-1024 -3232 -16208 -40 202 314 320
-976 -3232 -16192 -40 202 314 330
-1008 -3248 -16208 -40 202 314 330
-1008 -3248 -16208 -36 202 314 340
-960 -3264 -16192 -36 195 323 350
-1008 -3280 -16160 -36 195 323 360
-1056 -3296 -16208 -36 195 323 370
-1040 -3232 -16192 -36 195 323 370
-1040 -3232 -16192 -36 195 323 380
-992 -3216 -16160 -34 199 319 380
-976 -3200 -16208 -34 199 319 380
-976 -3200 -16208 -34 199 319 380
-992 -3280 -16192 -34 199 319 380
-992 -3296 -16224 -34 199 319 390
-992 -3296 -16176 -34 199 319 390
-1040 -3264 -16176 -34 199 319 390
-1040 -3248 -16176 -34 199 319 390
-1040 -3248 -16112 -41 199 318 390
-1040 -3248 -16112 -41 199 318 390
-1024 -3264 -16160 -41 199 318 400
-1040 -3264 -16160 -41 199 318 400
-1040 -3264 -16160 -41 199 318 400
-1040 -3248 -16208 -41 199 318 400
-1008 -3264 -16144 -41 199 318 400
-1008 -3264 -16192 -41 199 318 400
-1024 -3232 -16192 -41 199 318 410
-976 -3216 -16192 -41 199 318 410
-992 -3216 -16160 -41 202 318 410
-992 -3232 -16224 -41 202 318 410
-992 -3296 -16176 -41 202 318 410
-1024 -3296 -16176 -41 202 318 410
-1024 -3248 -16176 -41 202 318 410
-1008 -3296 -16144 -41 198 318 410
-1024 -3232 -16208 -35 200 319 410
-1024 -3232 -16208 -35 200 319 410
-1024 -3232 -16192 -35 200 319 420
-976 -3296 -16192 -35 200 319 420
-976 -3248 -16192 -37 201 317 420
-992 -3232 -16176 -37 201 317 420
-992 -3232 -16176 -37 201 317 420
-976 -3296 -16160 -37 201 317 420
-1008 -3232 -16192 -37 201 317 430
-1008 -3232 -16192 -37 201 317 430
-1008 -3232 -16192 -37 201 317 430
-1008 -3232 -16192 -37 201 317 430
-1008 -3232 -16192 -37 201 317 430
-1008 -3232 -16192 -37 201 317 430
-1024 -3232 -16208 -39 206 319 440
-992 -3248 -16208 -39 206 319 440
-992 -3248 -16208 -39 206 319 440
-1024 -3248 -16208 -39 206 319 440
-1024 -3216 -16240 -39 206 319 440
-1008 -3248 -16176 -39 206 319 450
-1008 -3248 -16176 -39 206 319 450
-1008 -3264 -16160 -39 206 319 450
-1024 -3264 -16144 -39 206 319 450
